buffer,policy,mean_waste,mean_shortage,service_level
0.0,Naive,0.13922282671642672,0.12058466539707509,0.529045643153527
0.0,GradientBoosting,0.10145634103453817,0.08319341394668242,0.5529045643153527
0.05,Naive,0.16775104969086213,0.09911288837151046,0.6265560165975104
0.05,GradientBoosting,0.13176196554678096,0.0634990384589252,0.6504149377593361
0.1,Naive,0.20108261709907985,0.08244445577972823,0.7043568464730291
0.1,GradientBoosting,0.16651142733698437,0.04824850024912862,0.7344398340248963
0.15,Naive,0.2380306496460322,0.0693924883266806,0.7593360995850622
0.15,GradientBoosting,0.20489410611509018,0.03663117902723442,0.7977178423236515
0.2,Naive,0.27702379177504527,0.05838563045569368,0.7966804979253111
0.2,GradientBoosting,0.24596785867035187,0.027704931582496147,0.8443983402489627
0.25,Naive,0.3176491107561836,0.049010949436831895,0.8319502074688797
0.25,GradientBoosting,0.28926841654600116,0.02100548945814536,0.8858921161825726
0.3,Naive,0.3600518667149996,0.04141370539564795,0.8620331950207469
0.3,GradientBoosting,0.33443684855651196,0.016173921468656195,0.91701244813278
0.35,Naive,0.4035567142231741,0.0349185529038225,0.8807053941908713
0.35,GradientBoosting,0.38073109029028285,0.012468163202427086,0.9387966804979253
0.4,Naive,0.4479551845478518,0.029317023228500144,0.8952282157676349
0.4,GradientBoosting,0.42795286342798067,0.009689936340124891,0.950207468879668
0.45,Naive,0.49345226653130186,0.024814105211950214,0.9190871369294605
0.45,GradientBoosting,0.4757716302069074,0.0075087031190517,0.9626556016597511
0.5,Naive,0.5397415177492648,0.021103356429913185,0.9325726141078838
0.5,GradientBoosting,0.5241986235352172,0.00593569644736147,0.9761410788381742
0.55,Naive,0.5866736519500253,0.018035490630673643,0.9439834024896265
0.55,GradientBoosting,0.57302888734867,0.004765960260814258,0.9782157676348547
0.6,Naive,0.6341277314667965,0.015489570147444932,0.9533195020746889
0.6,GradientBoosting,0.6220303486271724,0.0037674215393167483,0.9813278008298755
0.65,Naive,0.6819635462052763,0.013325384885924793,0.9605809128630706
0.65,GradientBoosting,0.6711743613437021,0.0029114342558462635,0.9854771784232366
0.7,Naive,0.7302501906642348,0.01161202934488328,0.9688796680497925
0.7,GradientBoosting,0.7205621938099083,0.0022992667220525813,0.9906639004149378
0.75,Naive,0.7787504309756779,0.010112269656326299,0.970954356846473
0.75,GradientBoosting,0.7700989256909657,0.0018359986031099892,0.991701244813278
0.8,Naive,0.82739040908408,0.008752247764728341,0.9730290456431535
0.8,GradientBoosting,0.8197311462205888,0.0014682191327330602,0.9937759336099585
0.85,Naive,0.8763032849066278,0.007665123587276187,0.979253112033195
0.85,GradientBoosting,0.8694393536164102,0.00117642652855457,0.9948132780082988
0.9,Naive,0.9252706670467844,0.006632505727432677,0.9802904564315352
0.9,GradientBoosting,0.9192197375264092,0.0009568104385534953,0.995850622406639
0.95,Naive,0.974352417007636,0.005714255688284392,0.9823651452282157
0.95,GradientBoosting,0.9690464965264418,0.0007835694385861839,0.9968879668049793
1.0,Naive,1.0235186610663876,0.004880499747035744,0.983402489626556
1.0,GradientBoosting,1.0188908948666908,0.0006279677788351463,0.9968879668049793
1.05,Naive,1.0727585457117252,0.004120384392373508,0.9865145228215768
1.05,GradientBoosting,1.0687822825826696,0.0005193554948137043,0.9979253112033195
1.1,Naive,1.1221361417342341,0.003497980414882287,0.9885892116182573
1.1,GradientBoosting,1.1186785481428354,0.0004156210549796796,0.9979253112033195
