date,store,actual,naive,model
2023-08-31,store_1,-0.4304279536981675,-0.8921410686566321,-0.381207543616638
2023-09-01,store_1,0.0779228496399398,-0.582000440932007,-0.3713286337586296
2023-09-02,store_1,1.4257520438116191,-0.3021743106541496,0.10053655334152531
2023-09-03,store_1,0.6538983011285294,0.0592677742880827,0.3312686350450936
2023-09-04,store_1,-0.502716370686614,-0.6333018981496141,-0.343884375576538
2023-09-05,store_1,-0.7918700386404,-0.4117728783463104,-0.5087520144220259
2023-09-06,store_1,-0.7568917723556677,-0.388454034156489,-0.6157623665097003
2023-09-07,store_1,-0.7032584307190785,-0.4304279536981675,-0.5187941048464472
2023-09-08,store_1,-0.3931178029944532,0.0779228496399398,-0.5374860222373019
2023-09-09,store_1,-0.0946365973647388,1.4257520438116191,-0.21630828244999512
2023-09-10,store_1,-0.1272829792304888,0.6538983011285294,0.017924198476766285
2023-09-11,store_1,-0.9597657168071144,-0.502716370686614,-0.7400127461548507
2023-09-12,store_1,-0.7825425009644713,-0.7918700386404,-0.6176178623884996
2023-09-13,store_1,-0.5959917474458998,-0.7568917723556677,-0.5405220657258477
2023-09-14,store_1,-0.3581395367097211,-0.7032584307190785,-0.48124224087356715
2023-09-15,store_1,-0.3371525769388818,-0.3931178029944532,-0.37693405857050305
2023-09-16,store_1,0.4836707385428329,-0.0946365973647388,0.3592303012199272
2023-09-17,store_1,0.2924562161862971,-0.1272829792304888,0.39534487650979827
2023-09-18,store_1,-0.761555541193632,-0.9597657168071144,-0.5928591417507585
2023-09-19,store_1,-0.8221845360871678,-0.7825425009644713,-0.509781436953512
2023-09-20,store_1,-0.5773366720940426,-0.5959917474458998,-0.6151828957551327
2023-09-21,store_1,-0.6402975514065605,-0.3581395367097211,-0.5268520900133362
2023-09-22,store_1,-0.2835192353022925,-0.3371525769388818,-0.21684727646934804
2023-09-23,store_1,0.8241258637142259,0.4836707385428329,0.6589683601808545
2023-09-24,store_1,0.5606229243692437,0.2924562161862971,0.3431131423957335
2023-09-25,store_1,-0.728909159327882,-0.761555541193632,-0.5939883111794231
2023-09-26,store_1,-0.6356337825685963,-0.8221845360871678,-0.5302827515391507
2023-09-27,store_1,-0.5400265213903284,-0.5773366720940426,-0.48966092544829565
2023-09-28,store_1,-0.5843323253509891,-0.6402975514065605,-0.3420312012352793
2023-09-29,store_1,-0.3184975015870246,-0.2835192353022925,-0.2600284608342615
2023-09-30,store_1,0.4486924722581007,0.8241258637142259,0.7761978974830269
2023-10-01,store_1,1.2228780993601729,0.5606229243692437,0.8029312596228544
2023-10-02,store_1,-0.260200391112471,-0.728909159327882,-0.4213422590632501
2023-10-03,store_1,0.6912084518322438,-0.6356337825685963,0.45231648154242055
2023-10-04,store_1,-0.2951786573972032,-0.5400265213903284,-0.3462078553447655
2023-10-05,store_1,-0.4560786823069711,-0.5843323253509891,-0.4205924032574077
2023-10-06,store_1,-0.1599293610962388,-0.3184975015870246,-0.004730934186180899
2023-10-07,store_1,0.5862736529780472,0.4486924722581007,0.4799744020395396
2023-10-08,store_1,0.6515664167095473,1.2228780993601729,0.9551043909497484
2023-10-09,store_1,-0.5889960941889534,-0.260200391112471,-0.6293907722726987
2023-10-10,store_1,-0.4654062199828997,0.6912084518322438,-0.40877239168461976
2023-10-11,store_1,-0.6193105916357212,-0.2951786573972032,-0.4725932149006542
2023-10-12,store_1,-0.470069988820864,-0.4560786823069711,-0.4453934723782976
2023-10-13,store_1,-0.2462090845985781,-0.1599293610962388,-0.0712878813245424
2023-10-14,store_1,0.7075316427651187,0.5862736529780472,0.640937483877085
2023-10-15,store_1,1.309157822862512,0.6515664167095473,0.7665541922145149
2023-10-16,store_1,-0.6682801644343462,-0.5889960941889534,-0.6480849686709547
2023-10-17,store_1,-0.3697989588046318,-0.4654062199828997,-0.2718365260616441
2023-10-18,store_1,-0.388454034156489,-0.6193105916357212,-0.48116079988803867
2023-10-19,store_1,-0.5400265213903284,-0.470069988820864,-0.3745951892960209
2023-10-20,store_1,-0.1016322506216852,-0.2462090845985781,0.06290812885719212
2023-10-21,store_1,0.7425099090498509,0.7075316427651187,0.7815423733874981
2023-10-22,store_1,0.9756983509480652,1.309157822862512,0.690297410269935
2023-10-23,store_1,-0.6426294358255427,-0.6682801644343462,-0.7109578036453504
2023-10-24,store_1,-0.2065670494758817,-0.3697989588046318,-0.6432041513730309
2023-10-25,store_1,-0.7032584307190785,-0.388454034156489,-0.5105966587094448
2023-10-26,store_1,-0.5703410188370962,-0.5400265213903284,-0.48885485583857086
2023-10-27,store_1,-0.3814583808995425,-0.1016322506216852,-0.19558868643382007
2023-10-28,store_1,0.2784649096724042,0.7425099090498509,0.030986542843522678
2023-10-29,store_1,0.5582910399502615,0.9756983509480652,0.08057158178379395
2023-10-30,store_1,-0.5796685565130247,-0.6426294358255427,-0.7604006728500112
2023-10-31,store_1,-0.292846772978221,-0.2065670494758817,0.6852185819908639
2023-11-01,store_1,-0.5237033304574533,-0.7032584307190785,-0.5203010591714252
2023-11-02,store_1,-0.5306989837143997,-0.5703410188370962,-0.4711476661946599
2023-11-03,store_1,-0.2975105418161853,-0.3814583808995425,-0.21817477151319334
