row_id,sales
0,-0.9434425258742393
1,-0.2368815469226496
2,-0.6286381293116499
3,-0.46773810440188185
4,0.24815041222563639
5,-1.2046135808002394
6,0.3181069447951007
7,-0.9107961440084893
8,-1.4121512940896503
9,-0.3208293860060068
10,0.46501566319097576
11,0.19451707058904705
12,-0.8991367219135785
13,-1.3235396861683288
14,-0.6472932046635069
15,-0.2695279287883996
16,-1.1393208170687394
17,0.8754273209318332
18,0.19451707058904705
19,-0.3674670743856497
20,-1.213941118476168
21,0.2504822966446185
22,-1.1533121235826322
23,0.4300373969062436
24,0.6538983011285294
25,-0.5843323253509891
26,-1.3235396861683288
27,-0.8921410686566321
28,-1.423810716184561
29,-0.39311780299445326
30,-1.5124223241058825
31,-1.3095483796544358
32,-0.23221777808468533
33,-1.1952860431243109
34,-1.0297222493765785
35,-0.5540178279042212
36,0.0592677742880827
37,-0.5493540590662569
38,-1.374841143385936
39,-1.0437135558904715
40,-0.8245164205061499
41,-1.5753832034184003
42,-1.344526645939168
43,-0.6752758176912927
44,-1.2978889575595252
45,-1.4867715954970788
46,-0.5376946369713462
47,-1.0880193598511323
48,-0.7802106165454892
49,-1.2349280782470073
50,0.028953276841314827
51,-0.7685511944505785
52,-1.619689007379061
53,-1.2372599626659895
54,-0.3674670743856497
55,-0.7498961190987213
56,-0.08064529085084594
57,-0.5796685565130247
58,-1.3841686810618645
59,-1.0250584805386143
60,0.080254734058922
61,-1.102010666365025
62,-1.5753832034184003
63,-1.3678454901289896
64,-0.5330308681333819
65,-1.164971545677543
66,0.20850837710293993
67,-0.37679461206157827
68,-0.3791264964805604
69,0.2388228745497078
70,-1.262910691274793
71,-1.4354701382794717
72,-1.3212078017493467
73,-0.052662677823060215
74,1.0456548835175297
75,0.4790069697048686
76,-0.7335729281658463
77,-0.7522280035177035
78,-0.9434425258742393
79,0.0592677742880827
80,-0.15060182342031028
81,0.47434320086690435
82,0.23182722129276137
83,1.0479867679365118
84,0.12222865360060059
85,-0.8758178777237571
86,-1.1346570482307752
87,-0.4257641848602033
88,-1.3025527263974894
89,-1.3888324498998288
90,-0.3674670743856497
91,-1.4494614447933645
92,-1.3305353394252752
93,-0.2951786573972032
94,-1.5613918969045075
95,-0.7942019230593821
96,-1.2745701133697038
97,-0.7545598879366856
98,-0.6962627774621319
99,-1.5334092838767217
100,-1.178962852191436
101,-0.7708830788695606
102,-0.8011975763163285
103,-0.03400760247120307
104,-1.4308063694415074
105,-0.30683807949211395
106,-1.21627300289515
107,-0.6286381293116499
108,-0.7732149632885428
109,-1.2256005405710788
110,-1.5124223241058825
111,-0.6333018981496141
112,-0.2788554664643282
113,-0.24620908459857818
114,-0.6915990086241677
115,-1.2116092340571858
116,-1.4564570980503109
117,-1.5240817462007932
118,-0.6496250890824891
119,0.12689242243856488
120,-0.7242453904899178
121,-1.2116092340571858
122,-1.1766309677724536
123,-1.3585179524530608
124,-0.5376946369713462
125,-0.24854096901756031
126,-0.4071091095083461
127,0.2294953368737792
128,-1.344526645939168
129,-0.23221777808468533
130,-1.5007629020109716
131,-0.12261921039252455
132,-1.0087352896057393
133,-0.2578685066934889
134,-0.9084642595895072
135,0.9337244314063867
136,-1.360849836872043
137,0.6608939543854759
138,-0.7802106165454892
139,-0.9970758675108286
140,-0.003693105024435192
141,-0.05499456224204236
142,0.36241274875576146
143,-0.6379656669875784
144,0.6538983011285294
145,-0.1156235571355781
146,-1.3002208419785073
147,-0.9784207921589714
148,-0.41876853160325683
149,-1.0926831286890966
150,-0.8991367219135785
151,0.07792284963993985
152,0.5512953866933151
153,-1.4378020226984538
154,-1.5100904396869004
155,-0.7802106165454892
156,-0.5003844862676319
157,-1.1626396612585608
158,-0.4467511446310426
159,-0.42110041602223897
160,-0.8524990335339356
161,-1.1836266210294002
162,-1.2675744601127572
163,-0.9364468726172929
164,-0.8011975763163285
165,-0.21356270273282815
166,-1.5730513189994182
167,-0.5959917474458998
168,-1.3585179524530608
169,-0.2368815469226496
170,-1.2372599626659895
171,-1.4517933292123466
172,-0.8501671491149535
173,-1.4471295603743823
174,-1.0390497870525073
175,-0.7452323502607571
176,-1.1229976261358643
177,-0.10862790387863168
178,-0.015352527119345913
179,-0.6776077021102749
180,-1.4354701382794717
181,-0.7592236567746499
182,-0.4420873757930783
183,-0.4327598381171497
184,-1.489103479916061
185,-0.7335729281658463
186,-1.1719671989344893
187,-0.04333514014713164
188,-1.0833555910131678
